city,keep_frac,seed,station,MAE,RMSE,R2
madrid,0.25,42,CUATRO CAMINOS-PABLO,4.55067253112793,7.009981123916527,0.4800910353660583
madrid,0.25,42,ESCUELAS AGUIRRE,3.732027292251587,5.809847975299676,0.6930737495422363
madrid,0.25,42,PLAZA CASTILLA-CANAL,4.2146453857421875,6.083972775370162,0.5821173787117004
madrid,0.25,42,PLAZA ELÍPTICA,4.001883506774902,5.936375883000299,0.6534131765365601
madrid,0.25,42,__aggregate__,4.37496280670166,7.02651614733085,0.5790661573410034
madrid,0.25,123,CASA DE CAMPO,3.1888532638549805,4.185826664703564,0.5150309801101685
madrid,0.25,123,CASTELLANA,6.903815746307373,11.835795688094336,0.4029408097267151
madrid,0.25,123,CUATRO CAMINOS-PABLO,4.459404945373535,6.867293043486435,0.5010411143302917
madrid,0.25,123,ESCUELAS AGUIRRE,3.68060851097107,5.776030622723417,0.696636438369751
madrid,0.25,123,PLAZA CASTILLA-CANAL,4.143346786499023,5.92011132058306,0.6043241024017334
madrid,0.25,123,PLAZA ELÍPTICA,4.12793493270874,6.142103953777069,0.6289746165275574
madrid,0.25,123,__aggregate__,4.417326927185059,7.198409847987235,0.5582191944122314
madrid,0.25,777,CASA DE CAMPO,3.048466682434082,4.032422981827442,0.549926221370697
madrid,0.25,777,CASTELLANA,6.891662120819092,11.660913265836404,0.4204545021057129
madrid,0.25,777,CUATRO CAMINOS-PABLO,4.499184608459473,6.9501491393409705,0.4889282584190368
madrid,0.25,777,ESCUELAS AGUIRRE,3.711878538131714,5.79913006539609,0.6942051649093628
madrid,0.25,777,PLAZA CASTILLA-CANAL,4.084026336669922,5.920900934071922,0.604218602180481
madrid,0.25,777,PLAZA ELÍPTICA,4.237668037414551,6.318915402504901,0.6073058843612671
madrid,0.25,777,__aggregate__,4.412147521972656,7.1781797268300425,0.5606988072395325
madrid,0.0,42,CASA DE CAMPO,2.4875123500823975,3.592292689193288,0.6428135633468628
madrid,0.0,42,CASTELLANA,4.768738269805908,6.9576845456703875,0.7936749458312988
madrid,0.0,42,CUATRO CAMINOS-PABLO,3.1819801330566406,4.8231082271270935,0.7538796067237854
madrid,0.0,42,ESCUELAS AGUIRRE,3.747616052627563,5.8157126459551165,0.6924538612365723
madrid,0.0,42,PLAZA CASTILLA-CANAL,3.3723959922790527,5.166661518873706,0.698630154132843
madrid,0.0,42,PLAZA ELÍPTICA,3.7966346740722656,5.738740262551128,0.676106333732605
madrid,0.0,42,__aggregate__,3.559145927429199,5.447114709163481,0.7470313310623169
madrid,0.0,123,CASA DE CAMPO,2.5317060947418213,3.695194557033642,0.6220571398735046
madrid,0.0,123,CASTELLANA,4.622529983520508,6.644474412786008,0.8118329048156738
madrid,0.0,123,CUATRO CAMINOS-PABLO,3.274850606918335,4.9832130919444495,0.7372682690620422
madrid,0.0,123,ESCUELAS AGUIRRE,3.812725305557251,5.892430522057548,0.68428635597229
madrid,0.0,123,PLAZA CASTILLA-CANAL,3.4270107746124268,5.2862485446237875,0.6845177412033081
madrid,0.0,123,PLAZA ELÍPTICA,3.99523401260376,5.930853084552582,0.6540577411651611
madrid,0.0,123,__aggregate__,3.610676050186157,5.484464552275901,0.7435503005981445
madrid,0.0,777,CASA DE CAMPO,2.5137228965759277,3.6137878392764353,0.638526201248169
madrid,0.0,777,CASTELLANA,4.734858512878418,6.840241390675832,0.8005815744400024
madrid,0.0,777,CUATRO CAMINOS-PABLO,3.250495433807373,4.922479307829617,0.7436333894729614
madrid,0.0,777,ESCUELAS AGUIRRE,3.8356316089630127,5.888892123783271,0.6846653819084167
madrid,0.0,777,PLAZA CASTILLA-CANAL,3.41874098777771,5.22752127527681,0.6914884448051453
madrid,0.0,777,PLAZA ELÍPTICA,3.858663320541382,5.848265835899863,0.663625180721283
