city,model,station,seed,MAE,RMSE,R2
beijing,XGBoost,Tiantan,42,11.089828118192411,20.84102441166678,0.9508085954084792
beijing,XGBoost,Wanliu,42,10.312059251399464,20.470659589676472,0.949194515522439
beijing,XGBoost,Wanshouxigong,42,12.259066973322671,26.13718391928562,0.9354178140519224
beijing,XGBoost,__aggregate__,42,10.985991524995372,22.16994711348413,0.9426727945996964
beijing,LSTM,Aotizhongxin,123,10.888253211975098,20.65057008709142,0.9508076906204224
beijing,LSTM,Changping,123,10.426424026489258,19.89582932823367,0.9392091035842896
beijing,LSTM,Dingling,123,8.54617691040039,17.510017361722188,0.9479299783706664
beijing,LSTM,Dongsi,123,11.51210594177246,23.255807458921012,0.947465479373932
beijing,LSTM,Guanyuan,123,11.389016151428224,21.30563288606516,0.9493176937103271
beijing,LSTM,Gucheng,123,10.915706634521484,22.430227647188236,0.9496808648109436
beijing,LSTM,Huairou,123,8.704855918884277,19.295160601981262,0.9362913370132446
beijing,LSTM,Nongzhanguan,123,11.087224960327148,21.385543988854216,0.9529603719711304
beijing,LSTM,Shunyi,123,10.924819946289062,21.479752343595298,0.944744110107422
beijing,LSTM,Tiantan,123,10.995474815368652,20.415359309891,0.9527974724769592
beijing,LSTM,Wanliu,123,10.085299491882324,20.031208865499888,0.9513524174690248
beijing,LSTM,Wanshouxigong,123,11.736865997314451,25.17250299883908,0.9400970935821532
beijing,LSTM,__aggregate__,123,10.601019859313965,21.153180168712225,0.9478105306625366
beijing,LSTM,Aotizhongxin,42,10.88157081604004,20.6933526464418,0.9506036639213562
beijing,LSTM,Changping,42,10.42027473449707,19.927235798336408,0.9390169978141784
beijing,LSTM,Dingling,42,8.561175346374512,17.539745427962583,0.9477530121803284
beijing,LSTM,Dongsi,42,11.502105712890623,23.302437663777127,0.9472545981407166
beijing,LSTM,Guanyuan,42,11.391812324523926,21.346911083174746,0.949121117591858
beijing,LSTM,Gucheng,42,10.91082763671875,22.471799004269357,0.9494941234588624
beijing,LSTM,Huairou,42,8.718337059020996,19.326521539440385,0.9360840320587158
beijing,LSTM,Nongzhanguan,42,11.081965446472168,21.43278322517502,0.9527522921562196
beijing,LSTM,Shunyi,42,10.953262329101562,21.52997079268767,0.9444854259490968
beijing,LSTM,Tiantan,42,10.992570877075195,20.455982868281392,0.9526094198226928
beijing,LSTM,Wanliu,42,10.079998016357422,20.069715681813435,0.9511651992797852
