city,station,seed,topology,r2_linear,r2_gcn,delta_r2
london,KC1,42,correlation,0.901552744785484,0.6860920706223802,-0.21546067416310377
london,LH0,42,correlation,0.8951224979619998,-0.2961587954223139,-1.1912812933843138
london,RB7,42,correlation,0.7280985663470754,0.4160297919514175,-0.3120687743956579
london,TH4,42,correlation,0.8669175599917451,0.4542103495833782,-0.41270721040836694
london,BL0,777,correlation,0.8930280287623692,-0.0164897782609243,-0.9095178070232935
london,BT4,777,correlation,0.7636374864331803,0.5252846405164606,-0.23835284591671968
london,CT3,777,correlation,0.7548665016322351,-1.1093447050826364,-1.8642112067148715
london,GN0,777,correlation,0.7407085614709887,-0.259227005127262,-0.9999355665982508
london,KC1,777,correlation,0.8992727771794625,0.6563085894420394,-0.24296418773742312
london,LH0,777,correlation,0.8795000086690784,-0.4312135205218146,-1.3107135291908931
london,RB7,777,correlation,0.7282296353094675,0.3853218715538818,-0.3429077637555857
london,TH4,777,correlation,0.8671096852933102,0.4573329867801842,-0.40977669851312604
madrid,CASA DE CAMPO,123,distance,0.6502557327070475,0.3526968361323472,-0.2975588965747003
madrid,CASTELLANA,123,distance,0.8926040104846529,0.3471791872165803,-0.5454248232680725
madrid,CUATRO CAMINOS-PABLO,123,distance,0.8308408051322564,0.5624897801795354,-0.268351024952721
madrid,ESCUELAS AGUIRRE,123,distance,0.7509806937007327,0.4784314206553878,-0.27254927304534493
madrid,MENDEZ ALVARO,123,distance,0.7966836122224943,0.6405087450089608,-0.15617486721353346
madrid,PLAZA CASTILLA-CANAL,123,distance,0.7700038638183813,0.5142009800897772,-0.25580288372860405
madrid,PLAZA ELÍPTICA,123,distance,0.7390350397590284,0.5007059316978513,-0.23832910806117713
madrid,CASA DE CAMPO,42,distance,0.6480983789669453,0.4030460407108963,-0.24505233825604905
madrid,CASTELLANA,42,distance,0.8921518521657353,0.3221376299102078,-0.5700142222555276
madrid,CUATRO CAMINOS-PABLO,42,distance,0.8282500831230457,0.5501659796295151,-0.27808410349353063
madrid,ESCUELAS AGUIRRE,42,distance,0.7489130506380569,0.4545903875421284,-0.2943226630959285
madrid,MENDEZ ALVARO,42,distance,0.7928174001790561,0.6293405713602958,-0.16347682881876036
madrid,PLAZA CASTILLA-CANAL,42,distance,0.7666744878735113,0.5247859509420483,-0.24188853693146306
madrid,PLAZA ELÍPTICA,42,distance,0.7365791537584051,0.4933912250879005,-0.2431879286705046
madrid,CASA DE CAMPO,777,distance,0.6453895529403086,0.3726683747708842,-0.2727211781694244
madrid,CASTELLANA,777,distance,0.8921707036105097,0.3457758635600543,-0.5463948400504554
madrid,CUATRO CAMINOS-PABLO,777,distance,0.8287867769680329,0.5331531853397231,-0.2956335916283098
madrid,ESCUELAS AGUIRRE,777,distance,0.7469274933111891,0.4780437305503018,-0.2688837627608873
madrid,MENDEZ ALVARO,777,distance,0.7940171617516099,0.65007305320474,-0.1439441085468699
madrid,PLAZA CASTILLA-CANAL,777,distance,0.7669286005215634,0.5074536365011949,-0.2594749640203685
madrid,PLAZA ELÍPTICA,777,distance,0.7343957025173594,0.5239016643022918,-0.21049403821506762
madrid,CASA DE CAMPO,123,correlation,0.6502557327070475,0.1394680839194705,-0.510787648787577
madrid,CASTELLANA,123,correlation,0.8926040104846529,0.1701671236174693,-0.7224368868671835
madrid,CUATRO CAMINOS-PABLO,123,correlation,0.8308408051322564,0.5090702248860832,-0.3217705802461732
madrid,ESCUELAS AGUIRRE,123,correlation,0.7509806937007327,0.4291518100356711,-0.3218288836650616
madrid,MENDEZ ALVARO,123,correlation,0.7966836122224943,0.6564441115039701,-0.1402395007185242
madrid,PLAZA CASTILLA-CANAL,123,correlation,0.7700038638183813,0.4923660172466216,-0.27763784657175966
madrid,PLAZA ELÍPTICA,123,correlation,0.7390350397590284,0.2905974766478036,-0.4484375631112248
madrid,CASA DE CAMPO,42,correlation,0.6480983789669453,0.1908660415025139,-0.4572323374644314
madrid,CASTELLANA,42,correlation,0.8921518521657353,0.1637610942425168,-0.7283907579232185
madrid,CUATRO CAMINOS-PABLO,42,correlation,0.8282500831230457,0.4980045117186062,-0.3302455714044395
madrid,ESCUELAS AGUIRRE,42,correlation,0.7489130506380569,0.3975329234404761,-0.3513801271975808
madrid,MENDEZ ALVARO,42,correlation,0.7928174001790561,0.6590423531681974,-0.13377504701085874
